Image,Global_Rule,Total_Leakage_(%),Sparsity,Heatmap_Entropy,Execution_Time,Structure-Tolerance_Add,Structure-Tolerance_Padding,Structure-Tolerance_Gap
n03950228_34570_pitcher.jpg,z_plus,2.4296065e-05,0.007278069223685044,10.384287,0.9030323028564453,,,4.6806894e-05
n03950228_34570_pitcher.jpg,epsilon,6.1197916e+22,0.0007307897376241131,10.529743,0.8214578628540039,,,11.162143
n03950228_34570_pitcher.jpg,alpha_beta,0.0,0.016830535079771666,9.802204,1.0724091529846191,,,5.6168272e-05
n03950228_34570_pitcher.jpg,composite,2.4296065e-05,0.01671495098861683,9.800286,1.0690269470214844,,,5.6168272e-05
n02129604_9026_tiger.jpg,z_plus,0.0011251649,0.011289955742478645,10.193932,0.7844028472900391,,,4.2004824e-05
n02129604_9026_tiger.jpg,epsilon,1.4585152e+22,0.0005667348985656387,9.851181,0.8785529136657715,,,2.7416718
n02129604_9026_tiger.jpg,alpha_beta,0.016527187,0.039391803969381405,9.723888,1.070397138595581,,,4.2004824e-05
n02129604_9026_tiger.jpg,composite,0.0029296747,0.03611443570728143,9.70581,1.2347965240478516,,,4.2004824e-05
n01662784_2198_turtle.jpg,z_plus,2.2697923e-05,0.015208629284534475,10.052029,0.7890017032623291,,,8.910913e-06
n01662784_2198_turtle.jpg,epsilon,3.4428966e+21,0.0003728519069510781,10.106542,0.8400657176971436,,,1.4730451
n01662784_2198_turtle.jpg,alpha_beta,2.2697923e-05,0.029623084007263156,8.262188,1.1292009353637695,,,5.3465472e-05
n01662784_2198_turtle.jpg,composite,1.1348961e-05,0.025607468969400044,7.8316774,1.0932345390319824,,,5.3465472e-05
n04254120_621_soap_dispenser.jpg,z_plus,0.025011826,0.010723220843913006,10.516518,0.7727763652801514,,,3.633432e-05
n04254120_621_soap_dispenser.jpg,epsilon,1.9154987e+22,5.96563051121725e-05,10.275679,0.8679633140563965,,,4.64995
n04254120_621_soap_dispenser.jpg,alpha_beta,0.1444765,0.03228151810382434,9.096137,1.1837222576141357,,,7.9935504e-05
n04254120_621_soap_dispenser.jpg,composite,0.14411369,0.03228524662289385,9.0962925,1.1582047939300537,,,7.9935504e-05
n02787622_3030_banjo.jpg,z_plus,2.596818e-05,0.00797530228968356,9.266827,0.7964062690734863,,,4.4202734e-05
n02787622_3030_banjo.jpg,epsilon,2.7520968e+21,0.0008016315999448179,10.354282,0.8523533344268799,,,8.998225
n02787622_3030_banjo.jpg,alpha_beta,1.298409e-05,0.015581481191485554,8.707592,1.0471055507659912,,,1.4734244e-05
n02787622_3030_banjo.jpg,composite,1.298409e-05,0.014791035148749269,8.712494,1.1463241577148438,,,1.4734244e-05
n02691156_2138_airplane.jpg,z_plus,2.165917e-05,0.004653191798749455,10.026642,0.7634270191192627,,,7.7313825e-06
n02691156_2138_airplane.jpg,epsilon,1.4642193e+21,9.69414958072803e-05,10.059368,0.8392136096954346,,,17.18684
n02691156_2138_airplane.jpg,alpha_beta,2.165917e-05,0.06460777843648281,8.847404,1.1070654392242432,,,7.7313825e-06
