Image,Global_Rule,Total_Leakage_(%),Sparsity,Heatmap_Entropy,Execution_Time,Structure-Tolerance_Add,Structure-Tolerance_Padding,Structure-Tolerance_Gap
n03950228_34570_pitcher.jpg,z_plus,255.1801,0.0074936224489795915,7.625036,0.41167593002319336,,0.00067317236,2.8073096e-05
n03950228_34570_pitcher.jpg,epsilon,223054.81,0.0019199085884353741,7.495839,0.3324594497680664,,14.737476,11.158279
n03950228_34570_pitcher.jpg,alpha_beta,0.12150065,0.008848852040816327,8.372072,0.44571590423583984,,0.0016471238,7.4861586e-05
n03950228_34570_pitcher.jpg,composite,0.1391722,0.010914912840136055,8.321516,0.3964412212371826,,0.0016471238,7.4861586e-05
n02129604_9026_tiger.jpg,z_plus,61.662025,0.001096141581632653,6.367005,0.3319694995880127,,7.079918e-05,4.2092128e-05
n02129604_9026_tiger.jpg,epsilon,495115.47,0.02052109906462585,7.1232367,0.35204553604125977,,2.4593186,2.7471173
n02129604_9026_tiger.jpg,alpha_beta,0.24959226,0.008629623724489796,6.5954227,0.46825289726257324,,1.9308867e-05,0.0
n02129604_9026_tiger.jpg,composite,0.19455147,0.01009778911564626,6.4784226,0.43923354148864746,,1.9308867e-05,0.0
n01662784_2198_turtle.jpg,z_plus,37.23842,0.0062247555272108845,6.7994947,0.3727231025695801,,0.000296576,1.7841483e-05
n01662784_2198_turtle.jpg,epsilon,67.23249,0.0,8.615164,0.3385796546936035,,3.934785,1.474554
n01662784_2198_turtle.jpg,alpha_beta,0.3519955,0.01488095238095238,9.287925,0.4475219249725342,,0.000111216,8.9207415e-06
n01662784_2198_turtle.jpg,composite,0.20585677,0.019511320153061226,9.224691,0.4430818557739258,,0.000111216,8.9207415e-06
n04254120_621_soap_dispenser.jpg,z_plus,19.546886,0.0023716517857142855,8.168358,0.3240244388580322,,0.0001326608,5.091091e-05
n04254120_621_soap_dispenser.jpg,epsilon,3614.6084,0.0005580357142857143,8.405149,0.334733247756958,,2.7444868,4.65365
n04254120_621_soap_dispenser.jpg,alpha_beta,0.011663652,0.01287468112244898,7.2582483,0.5853805541992188,,0.000110550674,0.00013818675
n04254120_621_soap_dispenser.jpg,composite,0.057109702,0.01503374787414966,7.591951,0.41939306259155273,,0.000110550674,0.00013818675
n02787622_3030_banjo.jpg,z_plus,33.442265,0.0028366815476190475,7.8126745,0.35570621490478516,,0.00012158596,1.479356e-05
n02787622_3030_banjo.jpg,epsilon,129452.82,0.006357621173469388,7.4308205,0.40456509590148926,,7.096807,9.031239
n02787622_3030_banjo.jpg,alpha_beta,0.109202616,0.0077261373299319725,9.216558,0.46915102005004883,,0.00060792983,2.219034e-05
n02787622_3030_banjo.jpg,composite,0.05596634,0.009878560799319728,9.39178,0.4163174629211426,,0.00060792983,2.219034e-05
n02691156_2138_airplane.jpg,z_plus,0.005958778,0.002099277210884354,10.60156,0.35952186584472656,,0.0018922354,1.5505953e-05
n02691156_2138_airplane.jpg,epsilon,3.66482e+06,0.030280080782312924,8.302328,0.3395555019378662,,8.094991,17.226562
n02691156_2138_airplane.jpg,alpha_beta,0.05308905,0.007560055272108844,8.135384,0.4532287120819092,,0.0029960393,1.5505953e-05
n02691156_2138_airplane.jpg,composite,0.09743277,0.013166985544217687,8.006657,0.4246838092803955,,0.0029960393,1.5505953e-05
n02484322_3182_monkey.jpg,z_plus,58.794857,0.002418154761904762,7.31541,0.4083230495452881,,0.00045075317,4.5361e-05
n02484322_3182_monkey.jpg,epsilon,39528.836,0.0012688669217687076,8.010675,0.3437767028808594,,12.283282,1.8669679
n02484322_3182_monkey.jpg,alpha_beta,0.6451678,0.007287680697278911,6.899808,0.44527721405029297,,0.0017764978,9.0722e-05
n02484322_3182_monkey.jpg,composite,0.42571515,0.009825414540816327,7.5108347,0.42148399353027344,,0.0017764978,9.0722e-05
n02274259_3025_butterfly.jpg,z_plus,68.184746,0.0013818027210884354,5.391049,0.37967991828918457,,8.923454e-06,2.2058952e-05
n02274259_3025_butterfly.jpg,epsilon,3385.0925,0.00025244472789115647,8.49647,0.34236645698547363,,1.4078889,1.8167422
n02274259_3025_butterfly.jpg,alpha_beta,3.7389152,0.010283801020408163,8.260174,0.4676942825317383,,0.00034801467,2.2058952e-05
n02274259_3025_butterfly.jpg,composite,2.0094573,0.012449511054421769,8.590614,0.4500465393066406,,0.00034801467,2.2058952e-05
n04252225_8055_snowplow.jpg,z_plus,30.114742,0.0014482355442176872,8.740551,0.35944628715515137,,0.0002380538,1.0977836e-05
n04252225_8055_snowplow.jpg,epsilon,58612.336,0.0012688669217687076,8.930613,0.3477907180786133,,4.4296236,6.8615646
n04252225_8055_snowplow.jpg,alpha_beta,0.16812883,0.007354113520408163,6.6391125,0.4554462432861328,,0.00081087084,6.586701e-05
n04252225_8055_snowplow.jpg,composite,0.09359362,0.00936702806122449,7.3917847,0.39970970153808594,,0.00081087084,6.586701e-05
n02121808_538_domestic_cat.jpg,z_plus,48.74389,0.0017139668367346938,8.07131,0.34018778800964355,,0.0007379321,7.389329e-06
