Image,Global_Rule,Total_Leakage_(%),Sparsity,Heatmap_Entropy,Execution_Time,Structure-Tolerance_Add,Structure-Tolerance_Padding,Structure-Tolerance_Gap
n03950228_34570_pitcher.jpg,z_plus,0.0038138682,0.012236926020408163,9.998365,0.843325138092041,,,
n03950228_34570_pitcher.jpg,epsilon,1.2989522,0.0005646789965986394,11.0366955,0.6725447177886963,,,
n03950228_34570_pitcher.jpg,alpha_beta,8.690369,0.03158880739795918,8.9112625,1.0803930759429932,,,
n03950228_34570_pitcher.jpg,composite,167.11314,0.002099277210884354,8.866968,1.0624136924743652,,,
n02129604_9026_tiger.jpg,z_plus,0.004806069,0.004464285714285714,5.234883,0.8041219711303711,,,
n02129604_9026_tiger.jpg,epsilon,1.1666816,0.00027901785714285713,10.933491,0.7751598358154297,,,
n02129604_9026_tiger.jpg,alpha_beta,20.334843,0.02214205994897959,7.405325,1.2269558906555176,,,
n02129604_9026_tiger.jpg,composite,19.05099,0.016388977465986394,7.4177623,1.1634397506713867,,,
n01662784_2198_turtle.jpg,z_plus,0.0060265562,0.0047366602891156465,9.265687,0.825162410736084,,,
n01662784_2198_turtle.jpg,epsilon,0.55473673,0.00023915816326530612,11.177887,0.7875561714172363,,,
n01662784_2198_turtle.jpg,alpha_beta,27.946037,0.006317761479591837,9.014348,1.3274781703948975,,,
n01662784_2198_turtle.jpg,composite,119.360054,0.00015943877551020407,8.787804,1.0638940334320068,,,
n04254120_621_soap_dispenser.jpg,z_plus,0.0024189693,0.013977465986394558,9.992619,0.8244104385375977,,,
n04254120_621_soap_dispenser.jpg,epsilon,0.97912204,0.0002923044217687075,11.268297,0.7813363075256348,,,
n04254120_621_soap_dispenser.jpg,alpha_beta,10.012129,0.047997714710884355,7.7394786,1.1448349952697754,,,
n04254120_621_soap_dispenser.jpg,composite,26.760334,0.018999787414965986,7.21305,1.109480381011963,,,
n02787622_3030_banjo.jpg,z_plus,0.0027534242,0.006882440476190476,7.403199,0.7696413993835449,,,
n02787622_3030_banjo.jpg,epsilon,0.6429618,0.00027237457482993195,10.998419,0.7183864116668701,,,
n02787622_3030_banjo.jpg,alpha_beta,11.10682,0.010642538265306123,5.544268,1.1450245380401611,,,
n02787622_3030_banjo.jpg,composite,9.060831,0.024905665391156462,5.227398,1.0483319759368896,,,
n02691156_2138_airplane.jpg,z_plus,0.0020026213,0.0010031356292517007,8.244426,0.7699170112609863,,,
n02691156_2138_airplane.jpg,epsilon,0.5113907,0.00016608205782312925,11.303294,0.738323450088501,,,
n02691156_2138_airplane.jpg,alpha_beta,9.994881,0.06980096726190477,8.261016,1.238553762435913,,,
n02691156_2138_airplane.jpg,composite,14.000529,0.027848639455782313,8.401211,1.0032603740692139,,,
n02484322_3182_monkey.jpg,z_plus,0.005316158,0.01056281887755102,7.55949,0.765488862991333,,,
n02484322_3182_monkey.jpg,epsilon,0.5911392,0.0004052402210884354,10.945858,0.8137698173522949,,,
n02484322_3182_monkey.jpg,alpha_beta,22.557085,0.005593643707482993,6.6510105,1.1447348594665527,,,
n02484322_3182_monkey.jpg,composite,21.526047,0.01676764455782313,6.835718,1.0668864250183105,,,
n02274259_3025_butterfly.jpg,z_plus,0.003723755,0.0036006590136054423,8.74554,0.8364026546478271,,,
