Image_Index,File_Name,Rule,Initial_Sum(R_out),Final_Sum(R_in),Absolute_Error,RCE_Value,RCE_Percentage(%)
0,n03950228_34570_pitcher.jpg,z_plus,9.306283,6.3077784,2.9985046,0.3222021766664477,32.22021766664477
0,n03950228_34570_pitcher.jpg,epsilon,9.306283,30792982.0,30792972.0,3308836.83702538,330883683.702538
0,n03950228_34570_pitcher.jpg,alpha_beta,9.306283,2.8805908e+17,2.8805908e+17,3.0953182461130704e+16,3.0953182461130706e+18
0,n03950228_34570_pitcher.jpg,composite,9.306283,848.0053,838.69904,90.12180650566263,9012.180650566263
1,n02129604_9026_tiger.jpg,z_plus,9.437154,6.2785563,3.1585975,0.33469810183291493,33.46981018329149
1,n02129604_9026_tiger.jpg,epsilon,9.437154,-1168502300.0,1168502300.0,123819352.17241468,12381935217.241468
1,n02129604_9026_tiger.jpg,alpha_beta,9.437154,-2.2985777e+19,2.2985777e+19,2.435668317797988e+18,2.4356683177979878e+20
1,n02129604_9026_tiger.jpg,composite,9.437154,621.3314,611.8943,64.83885914762203,6483.885914762203
2,n01662784_2198_turtle.jpg,z_plus,7.344393,4.611505,2.7328877,0.3721053363703439,37.21053363703439
2,n01662784_2198_turtle.jpg,epsilon,7.344393,272200400.0,272200400.0,37062340.24333513,3706234024.333513
2,n01662784_2198_turtle.jpg,alpha_beta,7.344393,9.8123065e+19,9.8123065e+19,1.3360269291081423e+19,1.3360269291081423e+21
2,n01662784_2198_turtle.jpg,composite,7.344393,307.78928,300.4449,40.90806338337148,4090.8063383371477
3,n04254120_621_soap_dispenser.jpg,z_plus,10.879579,5.3864374,5.493141,0.5049038552524525,50.49038552524525
3,n04254120_621_soap_dispenser.jpg,epsilon,10.879579,17796119000.0,17796119000.0,1635736014.8194225,163573601481.94226
3,n04254120_621_soap_dispenser.jpg,alpha_beta,10.879579,-4.816818e+18,4.816818e+18,4.427393960223319e+17,4.427393960223319e+19
3,n04254120_621_soap_dispenser.jpg,composite,10.879579,461.39664,450.51706,41.40942183942492,4140.942183942492
4,n02787622_3030_banjo.jpg,z_plus,9.697545,7.1311255,2.5664196,0.26464631899379965,26.464631899379963
4,n02787622_3030_banjo.jpg,epsilon,9.697545,98478040.0,98478030.0,10154944.521124342,1015494452.1124343
4,n02787622_3030_banjo.jpg,alpha_beta,9.697545,-1.3255131e+21,1.3255131e+21,1.3668542777350953e+20,1.3668542777350953e+22
4,n02787622_3030_banjo.jpg,composite,9.697545,1751.4614,1741.7639,179.6087470151206,17960.87470151206
