Image,Global_Rule,Total_Leakage_(%),Sparsity,Heatmap_Entropy,Execution_Time,Structure-Tolerance_Add,Structure-Tolerance_Padding,Structure-Tolerance_Gap
n03950228_34570_pitcher.jpg,z_plus,99.99999033483056,1.0,10.801996,6.0583953857421875,,2.3235728629894735e-05,0.0010502324959419807
n03950228_34570_pitcher.jpg,epsilon,2.7907798430819287e+21,0.0,5.9254923,6.723543405532837,,30.706317448878078,38.77740993762488
n03950228_34570_pitcher.jpg,alpha_beta,,0.0,,12.571732521057129,,9.294291451957894e-05,0.0033985051554077583
n03950228_34570_pitcher.jpg,composite,99.99508094354198,0.9998139880952381,8.464486,14.027421712875366,,75.72031943928957,86.36604630926564
n02129604_9026_tiger.jpg,z_plus,99.99997124124894,1.0,10.507245,0.3034396171569824,,0.00023137137888201587,0.0013397887516647536
n02129604_9026_tiger.jpg,epsilon,2.3088027938615803e+18,0.0,8.101414,0.15687942504882812,,1.370728183543928,6.195793973746374
n02129604_9026_tiger.jpg,alpha_beta,,0.0,,0.5268568992614746,,0.0005609003124412506,0.0009555846243491258
n02129604_9026_tiger.jpg,composite,99.78945495535612,0.9710685055272109,9.418572,0.5707414150238037,,19.04544022148172,39.79600142678305
n01662784_2198_turtle.jpg,z_plus,99.99997344215207,1.0,10.27451,0.30979251861572266,,3.607541565461023e-05,0.001320080192936478
n01662784_2198_turtle.jpg,epsilon,3.799587292735449e+19,0.0,8.700912,0.15175747871398926,,0.9649512304987902,10.442259878295001
n01662784_2198_turtle.jpg,alpha_beta,,0.0,,0.5030865669250488,,0.0002044273553761246,0.0020061745037389896
n01662784_2198_turtle.jpg,composite,99.65719599142919,0.9671489689625851,9.153612,0.4754951000213623,,4.80135523287266,53.82579654875782
n04254120_621_soap_dispenser.jpg,z_plus,99.99998421955279,1.0,10.431188,0.29633140563964844,,0.0,0.0031946482214759778
n04254120_621_soap_dispenser.jpg,epsilon,1.960124625562237e+19,0.0,7.642209,0.1529526710510254,,1.9098999311929064,6.628778698203594
n04254120_621_soap_dispenser.jpg,alpha_beta,,0.0,,0.5655097961425781,,7.977594446271246e-06,0.0016502156375836179
n04254120_621_soap_dispenser.jpg,composite,99.93831280833567,0.9951238307823129,8.660428,0.46817684173583984,,11.804414591769778,41.51719870832362
n02787622_3030_banjo.jpg,z_plus,99.99997374549777,1.0,10.629252,0.3134279251098633,,8.45687560534342e-06,0.0002511068487190174
n02787622_3030_banjo.jpg,epsilon,1.4522133129960368e+19,0.0,8.355484,0.15944910049438477,,6.824343424736716,34.15015959449115
n02787622_3030_banjo.jpg,alpha_beta,,0.0,,0.5070302486419678,,2.537062681603026e-05,0.002617306000109758
n02787622_3030_banjo.jpg,composite,99.77974117549526,0.9707828443877551,9.091171,0.46358418464660645,,36.20532636376589,83.83310313588458
n02691156_2138_airplane.jpg,z_plus,99.99996289110031,1.0,9.52597,0.2964951992034912,,4.5078092155644035e-05,0.1870826033135792
n02691156_2138_airplane.jpg,epsilon,3.544456150465149e+19,0.0,7.794709,0.1902756690979004,,1.8357264163773308,7.187147837844181
n02691156_2138_airplane.jpg,alpha_beta,,0.0,,0.5466611385345459,,0.00037189426028406324,0.38878392637174075
n02691156_2138_airplane.jpg,composite,98.6117089600856,0.9390013818027211,8.007963,0.4863433837890625,,8.636962457021397,43.68897497483265
n02484322_3182_monkey.jpg,z_plus,99.99998130461995,1.0,10.307734,0.31320929527282715,,5.587685262760686e-05,0.0002681539918408484
n02484322_3182_monkey.jpg,epsilon,2.501322113952572e+22,0.0,5.0946627,0.16350197792053223,,2.331908690707917,4.304354246230931
n02484322_3182_monkey.jpg,alpha_beta,,0.0,,0.5272824764251709,,0.0001862561754253562,0.00023463474286074235
n02484322_3182_monkey.jpg,composite,99.76585263985386,0.9718922725340136,8.864491,0.4949772357940674,,7.245979869425261,31.028527442291516
n02274259_3025_butterfly.jpg,z_plus,99.99993111975019,1.0,10.202048,0.3840956687927246,,4.5070691681244284e-05,0.0009033903518556937
n02274259_3025_butterfly.jpg,epsilon,2.1657474677241708e+18,0.0,6.400037,0.18764615058898926,,3.3278846616680338,1.5030247318034289
n02274259_3025_butterfly.jpg,alpha_beta,,0.0,,0.5062663555145264,,0.00010140905628279963,0.011084599617269361
n02274259_3025_butterfly.jpg,composite,97.56295486627934,0.8375983205782312,9.441586,0.46703600883483887,,15.898618884521397,13.170410498958415
n04252225_8055_snowplow.jpg,z_plus,99.99998481717068,1.0,10.410279,0.3013279438018799,,7.462188717597458e-06,0.0013019536930539762
n04252225_8055_snowplow.jpg,epsilon,1.2523381908417631e+20,0.0,7.3460255,0.1897869110107422,,1.2039271411310213,20.441855269778987
n04252225_8055_snowplow.jpg,alpha_beta,,0.0,,0.5301756858825684,,2.2386566152792374e-05,0.000631830468687959
n04252225_8055_snowplow.jpg,composite,99.9297527309458,0.9886864902210885,9.111836,0.5458018779754639,,11.126272621712163,71.98630728286402
n02121808_538_domestic_cat.jpg,z_plus,99.99996032687322,1.0,10.316683,0.32619738578796387,,7.3131303241705465e-06,0.0016703248009519221
n02121808_538_domestic_cat.jpg,epsilon,1.9457928215162794e+19,0.0,6.9048085,0.16132593154907227,,2.9631707103990426,56.605303114499506
n02121808_538_domestic_cat.jpg,alpha_beta,,0.0,,0.5135180950164795,,2.9252521296682186e-05,0.0022837895460288103
n02121808_538_domestic_cat.jpg,composite,99.51170038494355,0.9660328975340136,8.619222,0.5142593383789062,,10.928332421142311,92.87954637779629
n04026417_1879_purse.jpg,z_plus,99.99997849710309,1.0,10.153142,0.3154456615447998,,0.00021981584405545224,0.005656897454252552
n04026417_1879_purse.jpg,epsilon,1.7745434806535127e+19,0.0,7.8599544,0.1542670726776123,,4.116013451095899,2.966157405763827
n04026417_1879_purse.jpg,alpha_beta,,0.0,,0.557873010635376,,0.0004587461093331178,0.009307094527462064
n04026417_1879_purse.jpg,composite,99.72042323970855,0.9735198767006803,8.834957,0.5041937828063965,,13.818369419753395,23.360171657474247
n04254120_4148_soap_dispenser.jpg,z_plus,99.99997803087302,1.0,9.08533,0.32191038131713867,,0.00016176172462423568,0.00946204206348722
n04254120_4148_soap_dispenser.jpg,epsilon,9.179225101472217e+18,0.0,8.273124,0.16649818420410156,,9.154223703110201,3.856262099526436
n04254120_4148_soap_dispenser.jpg,alpha_beta,,0.0,,0.49988365173339844,,0.0003064958992880255,0.009420306528235544
n04254120_4148_soap_dispenser.jpg,composite,99.59961200872203,0.9728024022108843,7.3034205,0.47009944915771484,,53.33026944856648,28.58413745635358
n07695742_612_pretzel.jpg,z_plus,99.9999832170558,1.0,10.265312,0.30158567428588867,,1.3555744234911913e-05,0.00880149726256244
n07695742_612_pretzel.jpg,epsilon,3.1027035952239636e+19,0.0,8.515316,0.15108370780944824,,2.6544722803362157,1.8136461834268474
n07695742_612_pretzel.jpg,alpha_beta,,0.0,,0.6291627883911133,,6.7778721174559565e-06,0.0050043425832025845
n07695742_612_pretzel.jpg,composite,99.91371501533447,0.9870123830782312,8.72786,0.4640834331512451,,10.210457672620352,15.554056444803596
n03642806_7780_laptop.jpg,z_plus,99.99998862647132,1.0,10.396609,0.2995157241821289,,2.8877180140918365e-05,0.0028624333780345058
n03642806_7780_laptop.jpg,epsilon,1.5026316145340275e+19,0.0,8.39553,0.15172171592712402,,3.9626999220176637,50.46891827876564
