Image_Index,File_Name,Rule,Initial_Sum(R_out),Final_Sum(R_in),Absolute_Error,RCE_Value,RCE_Percentage(%)
0,n01443537_goldfish.JPEG,z_plus,33300.39453125,9.42832e+09,9.428286e+09,283128.371201487,28312837.120148703
0,n01443537_goldfish.JPEG,epsilon,33300.39453125,1.5678257e+27,1.5678257e+27,4.7081294212336875e+22,4.7081294212336874e+24
0,n01443537_goldfish.JPEG,alpha_beta,33300.39453125,7.6076055e+12,7.6076055e+12,228453915.7453101,22845391574.53101
0,n01443537_goldfish.JPEG,composite,33300.39453125,65356.29,32055.895,0.9626280704021963,96.26280704021963
1,n01558993_robin.JPEG,z_plus,2599.310791015625,7.6163763e+09,7.616374e+09,2930151.248678168,293015124.8678168
1,n01558993_robin.JPEG,epsilon,2599.310791015625,1.757671e+25,1.757671e+25,6.762065685930378e+21,6.762065685930378e+23
1,n01558993_robin.JPEG,alpha_beta,2599.310791015625,1.3092881e+13,1.3092881e+13,5037058550.825775,503705855082.5775
1,n01558993_robin.JPEG,composite,2599.310791015625,65396.164,62796.85,24.15903930362222,2415.9039303622217
2,n02123394_Persian_cat.JPEG,z_plus,3139.848388671875,1.1531542e+10,1.1531538e+10,3672641.798120085,367264179.8120085
2,n02123394_Persian_cat.JPEG,epsilon,3139.848388671875,-8.078906e+24,8.078906e+24,2.5730242541989234e+21,2.5730242541989234e+23
2,n02123394_Persian_cat.JPEG,alpha_beta,3139.848388671875,5.4133244e+13,5.4133244e+13,17240718916.897957,1724071891689.7957
2,n02123394_Persian_cat.JPEG,composite,3139.848388671875,65370.33,62230.48,19.819581319037212,1981.958131903721
3,n03770679_minivan.JPEG,z_plus,12964.7314453125,9.100646e+09,9.100633e+09,701953.0737206055,70195307.37206055
3,n03770679_minivan.JPEG,epsilon,12964.7314453125,-8.433904e+25,8.433904e+25,6.505267000165522e+21,6.505267000165523e+23
3,n03770679_minivan.JPEG,alpha_beta,12964.7314453125,3.0867733e+13,3.0867733e+13,2380900287.3886824,238090028738.86823
3,n03770679_minivan.JPEG,composite,12964.7314453125,65380.508,52415.777,4.042951260876081,404.29512608760814
4,n07930864_cup.JPEG,z_plus,19351.140625,6.773462e+09,6.7734426e+09,350028.0779960303,35002807.79960303
4,n07930864_cup.JPEG,epsilon,19351.140625,2.4191203e+25,2.4191203e+25,1.2501176860487015e+21,1.2501176860487016e+23
4,n07930864_cup.JPEG,alpha_beta,19351.140625,-8.747711e+11,8.747711e+11,45205145.11676,4520514511.676
4,n07930864_cup.JPEG,composite,19351.140625,65382.973,46031.832,2.378765826949677,237.8765826949677
