Model,Image_Index,File_Name,Method,Initial_Sum(R_out),Final_Sum(R_in),Absolute_Error,RCE_Value,RCE_Percentage(%),Leakage_Percentage(%),Propagation_Continuity,Inference_Time(s)
DeiT-Tiny,0,n03950228_34570_pitcher.jpg,Conventional LRP (z+ / Zennit),14.917882919311523,0.9992253184318542,13.91865760087967,0.9330182892056785,93.30182892056786,93.30182892682221,0.06698171073177786,0.22153854370117188
DeiT-Tiny,1,n02129604_9026_tiger.jpg,Conventional LRP (z+ / Zennit),12.860812187194824,0.9999673366546631,11.860844850540161,0.9222469527567978,92.22469527567978,92.22469528285076,0.07775304717149237,0.16391634941101074
DeiT-Tiny,2,n01662784_2198_turtle.jpg,Conventional LRP (z+ / Zennit),41.58463668823242,0.9999696612358093,40.58466702699661,0.9759533870715593,97.59533870715593,97.59533870950283,0.0240466129049717,0.16431164741516113
DeiT-Tiny,3,n04254120_621_soap_dispenser.jpg,Conventional LRP (z+ / Zennit),44.05226135253906,0.9997307062149048,43.05253064632416,0.9773058027783951,97.73058027783951,97.730580280058,0.022694197199419883,0.15059304237365723
DeiT-Tiny,4,n02787622_3030_banjo.jpg,Conventional LRP (z+ / Zennit),9.900169372558594,0.9988594055175781,8.901309967041016,0.8991068365774292,89.91068365774292,89.91068366682464,0.10089316333175354,0.16470575332641602
DeiT-Tiny,5,n02691156_2138_airplane.jpg,Conventional LRP (z+ / Zennit),19.368236541748047,0.9994233250617981,18.36881321668625,0.9483988475741738,94.83988475741738,94.83988476231406,0.051601152376859444,0.16093993186950684
DeiT-Tiny,6,n02484322_3182_monkey.jpg,Conventional LRP (z+ / Zennit),18.565263748168945,0.9984942674636841,17.56676948070526,0.9462170706565706,94.62170706565706,94.62170707075377,0.053782929292462305,0.16742968559265137
DeiT-Tiny,7,n02274259_3025_butterfly.jpg,Conventional LRP (z+ / Zennit),42.814666748046875,0.9999781250953674,41.81468862295151,0.9766440287400433,97.66440287400432,97.66440287628542,0.023355971237145844,0.16165590286254883
DeiT-Tiny,8,n04252225_8055_snowplow.jpg,Conventional LRP (z+ / Zennit),37.37140655517578,0.9996848106384277,36.37172174453735,0.9732500083951691,97.3250008395169,97.32500084212117,0.026749991578788344,0.16622591018676758
DeiT-Tiny,9,n02121808_538_domestic_cat.jpg,Conventional LRP (z+ / Zennit),8.39198112487793,0.9986534118652344,7.393327713012695,0.8809990873566509,88.09990873566508,88.0999087461632,0.11900091253836809,0.16562175750732422
DeiT-Tiny,10,n04026417_1879_purse.jpg,Conventional LRP (z+ / Zennit),62.69475173950195,0.9999750852584839,61.69477665424347,0.9840500989556917,98.40500989556918,98.40500989713875,0.01594990102861244,0.16009092330932617
DeiT-Tiny,11,n04254120_4148_soap_dispenser.jpg,Conventional LRP (z+ / Zennit),71.13111114501953,0.9999836683273315,70.1311274766922,0.9859416835584848,98.59416835584848,98.59416835723457,0.014058316427654295,0.1676783561706543
DeiT-Tiny,12,n07695742_612_pretzel.jpg,Conventional LRP (z+ / Zennit),78.74240112304688,0.9999830722808838,77.74241805076599,0.9873005768301939,98.7300576830194,98.73005768427323,0.012699423157267702,0.16652917861938477
DeiT-Tiny,13,n03642806_7780_laptop.jpg,Conventional LRP (z+ / Zennit),18.193151473999023,0.9999686479568481,17.193182826042175,0.9450359850886196,94.50359850886197,94.50359851405642,0.05496401485943577,0.1717369556427002
