Model,Image_Index,File_Name,Method,Initial_Sum(R_out),Final_Sum(R_in),Absolute_Error,RCE_Value,RCE_Percentage(%),Leakage_Percentage(%),Propagation_Continuity,Inference_Time(s)
DeiT-Tiny,20,n02454379_4660_armadillo.jpg,Conventional LRP (z+),8.38083,7.694715,0.6861148,0.08186716631151954,8.186716631151954,8.186715841293335,0.9181328415870667,0.07468366622924805
DeiT-Tiny,21,n02509815_44_red_panda.jpg,Conventional LRP (z+),16.4156,11.995179,4.4204206,0.26928170119042777,26.928170119042775,26.928168535232544,0.7307183146476746,0.07452988624572754
DeiT-Tiny,22,n03483316_230_hair_dryer.jpg,Conventional LRP (z+),51.75641,49.822914,1.9334946,0.03735758752818524,3.7357587528185245,3.7357568740844727,0.9626424312591553,0.07776260375976562
DeiT-Tiny,23,n03814639_2265_neck_brace.jpg,Conventional LRP (z+),15.106878,12.4498,2.6570787,0.17588536118744494,17.588536118744493,17.58853793144226,0.8241146206855774,0.0785377025604248
DeiT-Tiny,24,n01662784_3789_turtle.jpg,Conventional LRP (z+),7.8384156,36.7167,28.878286,3.6841994285602326,368.4199428560233,368.4199333190918,4.684199333190918,0.0770418643951416
DeiT-Tiny,25,n03720891_5553_maraca.jpg,Conventional LRP (z+),12.268166,11.09769,1.170476,0.09540757754290216,9.540757754290215,9.540760517120361,0.9045923948287964,0.07709836959838867
DeiT-Tiny,26,n02419796_445_antelope.jpg,Conventional LRP (z+),6.2513113,3.5176535,2.7336578,0.4372935060074927,43.72935060074927,43.729352951049805,0.562706470489502,0.0769188404083252
DeiT-Tiny,27,n04141076_43723_saxophone.jpg,Conventional LRP (z+),36.109222,31.111908,4.9973145,0.13839440783168835,13.839440783168836,13.839441537857056,0.8616055846214294,0.07491469383239746
DeiT-Tiny,28,n03991062_19806_flower_pot.jpg,Conventional LRP (z+),5.6725464,34.59752,28.924973,5.099116085996794,509.9116085996794,509.911584854126,6.09911584854126,0.07494473457336426
DeiT-Tiny,29,n04118538_8452_rugby_ball.jpg,Conventional LRP (z+),11.506343,10.166569,1.3397741,0.1164378764576776,11.64378764576776,11.643785238265991,0.8835621476173401,0.09874582290649414
DeiT-Tiny,30,n07768694_1682_pomegranate.jpg,Conventional LRP (z+),15.718497,15.250723,0.4677744,0.0297594854598266,2.97594854598266,2.9759466648101807,0.9702405333518982,0.07692456245422363
DeiT-Tiny,31,n03141823_6920_crutch.jpg,Conventional LRP (z+),5.188469,3.9159505,1.2725184,0.2452589410361296,24.52589410361296,24.525892734527588,0.7547410726547241,0.07660174369812012
