Model,Image_Index,File_Name,Method,Initial_Sum(R_out),Final_Sum(R_in),Absolute_Error,RCE_Value,RCE_Percentage(%),Leakage_Percentage(%),Propagation_Continuity,Inference_Time(s)
DeiT-Tiny,431,n02951585_1789_can_opener.jpg,Conventional LRP (z+),7.8242,4.1976833,3.6265168,0.4635,46.35,46.35,0.5364999771118164,0.0
DeiT-Tiny,431,n02951585_1789_can_opener.jpg,TFRP Framework (z+),7.8242,7.6484375,0.17576265,0.022463977,2.2463977,2.2464096546173096,0.9775360226631165,0.31878185272216797
DeiT-Tiny,432,n02437136_3810_camel.jpg,Conventional LRP (z+),3.0164568,1.618329,1.3981278,0.46350002,46.350002,46.35,0.5364999771118164,0.0
DeiT-Tiny,432,n02437136_3810_camel.jpg,TFRP Framework (z+),3.0164568,2.4555664,0.56089044,0.18594347,18.594347,18.59434700012207,0.8140565156936646,0.32269930839538574
DeiT-Tiny,433,n03790512_8658_motorcycle.jpg,Conventional LRP (z+),8.50529,4.563088,3.942202,0.46350002,46.350002,46.35,0.5364999771118164,0.0
DeiT-Tiny,433,n03790512_8658_motorcycle.jpg,TFRP Framework (z+),8.50529,8.87854,0.37325,0.043884452,4.3884454,-4.388457298278809,1.0438843965530396,0.3252527713775635
DeiT-Tiny,434,n07753275_24866_pineapple.jpg,Conventional LRP (z+),5.0120835,2.6889827,2.3231008,0.46350002,46.350002,46.35,0.5364999771118164,0.0
DeiT-Tiny,434,n07753275_24866_pineapple.jpg,TFRP Framework (z+),5.0120835,4.774109,0.23797464,0.047480185,4.7480183,4.7480363845825195,0.9525198340415955,0.3210728168487549
DeiT-Tiny,435,n04317175_9155_stethoscope.jpg,Conventional LRP (z+),19.07278,10.232547,8.840234,0.4635,46.35,46.35,0.5364999771118164,0.0
DeiT-Tiny,435,n04317175_9155_stethoscope.jpg,TFRP Framework (z+),19.07278,21.721664,2.6488838,0.13888294,13.888293,-13.888293266296387,1.1388829946517944,0.32286858558654785
DeiT-Tiny,436,n04409515_22090_tennis_ball.jpg,Conventional LRP (z+),8.127797,4.360563,3.7672343,0.46350005,46.350006,46.35,0.5364999771118164,0.0
