,Model,Method,z_plus,epsilon,alpha_beta,composite
Heatmap_Entropy,resnet50,LRP,10.829460415789473,9.582551849473683,7.239962264210527,9.849916978947368
Heatmap_Entropy,resnet50,TFRP,9.006191664210524,8.656692932631579,8.331568722105263,8.332727443157895
Heatmap_Entropy,vgg16,LRP,11.176882026315788,11.192612094736841,9.64421608631579,11.073269931578947
Heatmap_Entropy,vgg16,TFRP,8.419419069473683,11.066675552631576,7.435494910526317,7.370958533684211
Heatmap_Entropy,inception_v3,LRP,11.183121363157898,10.633346821052632,7.799251003157894,10.32372702631579
Heatmap_Entropy,inception_v3,TFRP,9.285196755789473,10.049647007368423,8.028138409473685,8.036003568421053
Heatmap_Entropy,mobilenet_v2,LRP,10.03897747368421,7.343279036842104,6.221446866666667,8.540449254736844
Heatmap_Entropy,mobilenet_v2,TFRP,7.526499647777778,7.969172918947368,8.05709105473684,8.06117801894737
