,Model,Method,z_plus,epsilon,alpha_beta,composite
Sparsity,resnet50,LRP,0.0839989202918009,0.0,0.0,0.038677749060150333
Sparsity,resnet50,TFRP,0.0041535898899032735,3.2796835839596066e-05,0.007854247784640125,0.007847884219477217
Sparsity,vgg16,LRP,0.009428495904940876,0.0008706196294306714,0.04148415122627994,0.03022805339240955
Sparsity,vgg16,TFRP,0.007195723684210478,0.0002888079573934445,0.021983180607769374,0.01426858161027564
Sparsity,inception_v3,LRP,0.740476194681287,0.037762205650590235,4.2722614338144365e-06,0.0496395012654397
Sparsity,inception_v3,TFRP,0.007928205206700218,0.00034267052627258914,0.02576854099320286,0.024879387314047416
Sparsity,mobilenet_v2,LRP,1.0,0.0,0.0,0.9653154929735053
Sparsity,mobilenet_v2,TFRP,0.0027326966970998385,0.007899841680093044,0.00955625671321155,0.012510559322413127
