,Model,Method,z_plus,epsilon,alpha_beta,composite
Total_Leakage_(%),resnet50,LRP,46.90633793623131,1342387534.5558467,3.7950422267665695e+21,5750.48122237108
Total_Leakage_(%),resnet50,TFRP,4.270736468421052e-05,3.9973277327684205e+17,0.0756765311565158,0.07528977258493684
Total_Leakage_(%),vgg16,LRP,1.55861584973598e-05,39.025156272743935,30.32146686154453,26.21599760380133
Total_Leakage_(%),vgg16,TFRP,0.0036303691391578945,0.9742517432631581,17.15590026442105,23.46476991852632
Total_Leakage_(%),inception_v3,LRP,96.50075939874945,99.5245588359067,62754380.87060823,10239.209314216057
Total_Leakage_(%),inception_v3,TFRP,0.003742862287663157,1.1443807097526317e+22,0.01858253339230316,0.01682850116005579
Total_Leakage_(%),mobilenet_v2,LRP,99.99996980824177,2.5856089191518732e+20,4.6090459702367925e+31,99.57244994945451
Total_Leakage_(%),mobilenet_v2,TFRP,39.72658251028411,301590.0812825264,0.3557601304315789,0.21145224221578948
