,Model,Method,z_plus,epsilon,alpha_beta,composite
Execution_Time,resnet50,LRP,1.0860279635379189,0.5069464231792249,1.8648527848093133,1.3973312177156147
Execution_Time,resnet50,TFRP,0.6311467471875642,0.6293528832887348,0.8734983695180792,0.8699493935233669
Execution_Time,vgg16,LRP,1.049173362631547,0.49465808115507426,1.5281179403003893,0.7791308252434982
Execution_Time,vgg16,TFRP,0.8044083394502338,0.7792605174215217,1.227521404467131,1.0955439015438682
Execution_Time,inception_v3,LRP,3.999228919179816,1.6125414321297094,6.509594166906257,5.127329161292629
Execution_Time,inception_v3,TFRP,0.7963096267298648,0.8212253219202945,1.087480206238596,1.118461147107576
Execution_Time,mobilenet_v2,LRP,0.3129226383410002,0.16178283189472395,0.5277478142788535,0.4893274959764983
Execution_Time,mobilenet_v2,TFRP,0.34653839814035514,0.3562327585722271,0.4673513788925974,0.41478532239010457
