,Model,Method,z_plus,epsilon,alpha_beta,composite
Structure-Tolerance_Gap,resnet50,LRP,0.05335934660680177,0.21150600402870506,0.15976738087702416,0.7149281043434157
Structure-Tolerance_Gap,resnet50,TFRP,2.9325770241052628e-05,0.08043428906842105,4.814011269684211e-05,4.814011269684211e-05
Structure-Tolerance_Gap,vgg16,LRP,,,,
Structure-Tolerance_Gap,vgg16,TFRP,,,,
Structure-Tolerance_Gap,inception_v3,LRP,0.00796147104397641,8.296956876026345,0.017369749543666383,40.20142244004406
Structure-Tolerance_Gap,inception_v3,TFRP,2.9021859497894733e-05,5.394223898210527,4.355708887157894e-05,4.355708887157894e-05
Structure-Tolerance_Gap,mobilenet_v2,LRP,0.0031549971218221427,8.307039719338075,0.005678760115765245,40.19051664303904
Structure-Tolerance_Gap,mobilenet_v2,TFRP,2.9133470424210525e-05,5.384987824421053,4.96759573168421e-05,4.96759573168421e-05
